sender,receiver,amount_avg
0,14,2.000000
0,2,2.000000
0,5,2.000000
1,11,3.000000
1,15,3.000000
1,7,3.000000
10,3,3.000000
10,9,3.000000
11,1,1.500000
11,13,1.500000
11,14,1.500000
11,8,1.500000
12,4,4.333333
12,5,4.333333
12,7,4.333333
13,11,3.000000
13,19,3.000000
13,3,3.000000
14,0,3.500000
14,11,3.500000
14,15,3.500000
14,3,3.500000
15,1,1.333333
15,14,1.333333
15,17,1.333333
15,2,1.333333
15,3,1.333333
15,9,1.333333
17,15,1.500000
17,18,1.500000
17,6,1.500000
17,7,1.500000
18,17,2.333333
18,6,2.333333
18,7,2.333333
19,13,4.000000
19,2,4.000000
19,5,4.000000
2,0,1.400000
2,15,1.400000
2,19,1.400000
2,3,1.400000
2,6,1.400000
3,10,2.000000
3,13,2.000000
3,14,2.000000
3,15,2.000000
3,2,2.000000
3,6,2.000000
3,7,2.000000
4,12,6.000000
4,5,6.000000
5,0,2.000000
5,12,2.000000
5,19,2.000000
5,4,2.000000
6,17,2.400000
6,18,2.400000
6,2,2.400000
6,3,2.400000
6,7,2.400000
7,1,1.833333
7,12,1.833333
7,17,1.833333
7,18,1.833333
7,3,1.833333
7,6,1.833333
8,11,12.000000
9,10,4.500000
9,15,4.500000
