node,utility_avg,welfare_others
0,7.020542,69.560892
1,9.137078,67.444355
11,0.000000,76.581434
12,5.923109,70.658325
13,0.000000,76.581434
14,4.381269,72.200165
15,8.575377,68.006056
16,3.455147,73.126287
17,5.642571,70.938862
18,0.000000,76.581434
19,3.887766,72.693668
2,0.000000,76.581434
3,7.616760,68.964674
4,3.937305,72.644129
5,2.649770,73.931664
6,0.000000,76.581434
7,4.468987,72.112447
8,0.000000,76.581434
9,9.885754,66.695680
