node,utility_avg,welfare_others
0,0.000000,75.213928
1,1.466898,73.747030
10,4.254430,70.959498
11,0.000000,75.213928
12,0.000000,75.213928
13,13.930213,61.283715
14,3.586775,71.627153
15,2.786043,72.427885
16,0.000000,75.213928
18,2.160702,73.053226
19,12.716747,62.497181
2,9.821371,65.392557
3,0.000000,75.213928
4,0.000000,75.213928
5,0.000000,75.213928
6,0.000000,75.213928
7,10.799706,64.414222
8,0.000000,75.213928
9,13.691045,61.522883
