sender,receiver,amount_avg
0,10,7.000000
0,4,7.000000
1,4,12.000000
10,0,4.666667
10,14,4.666667
10,6,4.666667
11,13,1.500000
11,15,1.500000
11,19,1.500000
11,4,1.500000
12,14,3.000000
12,15,3.000000
12,18,3.000000
13,11,4.500000
13,14,4.500000
14,10,1.500000
14,12,1.500000
14,13,1.500000
14,2,1.500000
15,11,2.400000
15,12,2.400000
15,3,2.400000
15,8,2.400000
15,9,2.400000
16,4,6.000000
17,18,14.000000
18,12,4.000000
18,17,4.000000
19,11,8.000000
2,14,3.000000
2,4,3.000000
2,9,3.000000
3,15,4.000000
3,5,4.000000
4,0,1.333333
4,1,1.333333
4,11,1.333333
4,16,1.333333
4,2,1.333333
4,6,1.333333
5,3,5.000000
5,7,5.000000
6,10,6.500000
6,4,6.500000
7,5,4.000000
7,9,4.000000
8,15,7.000000
9,15,4.000000
9,2,4.000000
9,7,4.000000
