sender,receiver,amount_avg
0,16,4.333333
0,19,4.333333
0,6,4.333333
1,9,14.000000
10,7,11.000000
11,16,7.000000
12,13,2.600000
12,2,2.600000
12,3,2.600000
12,6,2.600000
12,9,2.600000
13,12,2.800000
13,15,2.800000
13,3,2.800000
13,7,2.800000
13,8,2.800000
14,19,13.000000
15,13,14.000000
16,0,1.166667
16,11,1.166667
16,2,1.166667
16,3,1.166667
16,5,1.166667
16,8,1.166667
18,2,10.000000
19,0,3.666667
19,14,3.666667
19,6,3.666667
2,12,2.200000
2,16,2.200000
2,18,2.200000
2,3,2.200000
2,4,2.200000
3,12,1.800000
3,13,1.800000
3,16,1.800000
3,2,1.800000
3,4,1.800000
4,2,4.333333
4,3,4.333333
4,9,4.333333
5,16,4.333333
5,6,4.333333
5,9,4.333333
6,0,3.500000
6,12,3.500000
6,19,3.500000
6,5,3.500000
7,10,4.333333
7,13,4.333333
7,8,4.333333
8,13,4.000000
8,16,4.000000
8,7,4.000000
9,1,1.500000
9,12,1.500000
9,4,1.500000
9,5,1.500000
